generation,best_score,mean_score,feasible_count,population_size,nominal_peak_mach,adverse_peak_mach,nominal_meets_duration,adverse_meets_duration,mass_margin_kg,body_diameter_m,throat_diameter_m,exit_to_throat_area_ratio,loaded_fuel_mass_kg,ramjet_fuel_fraction,climb_angle_deg,dive_angle_deg,dive_entry_mach
0,-5932.457297528703,-6016.9640772775065,24,24,0.5967352183058926,0.12469495614017655,False,False,5.250854049425936,0.195,0.11,1.2167087561674481,2.5491459505740663,0.6318228118423725,4.435321219626646,-20.0,0.78
1,-5930.0,-5990.508494885894,24,24,0.5565841546954979,0.573131714959072,False,False,5.300000000000001,0.195,0.14195967719813393,1.1969089403969055,2.5,0.2,3.0,-9.484374281144945,0.448190136929592
2,-5930.0,-5972.164508939181,24,24,0.5565841546954979,0.573131714959072,False,False,5.300000000000001,0.195,0.14195967719813393,1.1969089403969055,2.5,0.2,3.0,-9.484374281144945,0.448190136929592
3,-5930.0,-5948.774655916489,24,24,0.39544829290002265,0.12469495614017655,False,False,5.300000000000001,0.195,0.12368104747490442,1.0785933172506885,2.5,0.8,6.9384632885875,-3.0,0.78
4,-5930.0,-5938.726504002302,24,24,0.39544829290002265,0.12469495614017655,False,False,5.300000000000001,0.195,0.12368104747490442,1.0785933172506885,2.5,0.8,6.9384632885875,-3.0,0.78
5,-5930.0,-5933.7512030726975,24,24,0.39544829290002265,0.12469495614017655,False,False,5.300000000000001,0.195,0.12368104747490442,1.0785933172506885,2.5,0.8,6.9384632885875,-3.0,0.78
6,-5930.0,-5932.275790897125,24,24,0.39544829290002265,0.12469495614017655,False,False,5.300000000000001,0.195,0.12368104747490442,1.0785933172506885,2.5,0.8,6.9384632885875,-3.0,0.78
7,-5930.0,-5931.617572564042,24,24,0.34345033665883695,0.12469495614017655,False,False,5.300000000000001,0.195,0.11,1.0696521677711799,2.5,0.8,6.935536954138749,-3.0,0.41694406583260135
8,-5930.0,-5931.137700601624,24,24,0.12469495614017655,0.12469495614017655,False,False,5.300000000000001,0.195,0.11,1.1587769938323857,2.5,0.8,15.0,-8.058139185897302,0.43215871626271835
9,-5930.0,-5930.225252273464,24,24,0.12469495614017655,0.12469495614017655,False,False,5.300000000000001,0.195,0.11,1.1534836126637016,2.5,0.8,7.861576623754439,-6.183074364897633,0.7160523686931973
