chain,x_mm,r_mm,diameter_mm,segment,source,station
oml,153.4576,69.12637,138.25273,cowl outer,ASSUMED,cowl_lip
oml,154.4576,69.40177,138.80353,cowl outer,ASSUMED,
oml,155.4576,69.67616,139.35233,cowl outer,ASSUMED,
oml,156.4576,69.94955,139.89911,cowl outer,ASSUMED,
oml,157.4576,70.22194,140.44388,cowl outer,ASSUMED,
oml,158.4576,70.49332,140.98664,cowl outer,ASSUMED,
oml,159.4576,70.76370,141.52740,cowl outer,ASSUMED,
oml,160.4576,71.03307,142.06614,cowl outer,ASSUMED,
oml,161.4576,71.30144,142.60287,cowl outer,ASSUMED,
oml,162.4576,71.56880,143.13760,cowl outer,ASSUMED,
oml,163.4576,71.83515,143.67031,cowl outer,ASSUMED,
oml,164.4576,72.10051,144.20101,cowl outer,ASSUMED,
oml,165.4576,72.36485,144.72971,cowl outer,ASSUMED,
oml,166.4576,72.62819,145.25639,cowl outer,ASSUMED,
oml,167.4576,72.89053,145.78106,cowl outer,ASSUMED,
oml,168.4576,73.15186,146.30373,cowl outer,ASSUMED,
oml,169.4576,73.41219,146.82438,cowl outer,ASSUMED,
oml,170.4576,73.67151,147.34302,cowl outer,ASSUMED,
oml,171.4576,73.92983,147.85966,cowl outer,ASSUMED,
oml,172.4576,74.18714,148.37428,cowl outer,ASSUMED,
oml,173.4576,74.44345,148.88690,cowl outer,ASSUMED,
oml,174.4576,74.69875,149.39750,cowl outer,ASSUMED,
oml,175.4576,74.95305,149.90609,cowl outer,ASSUMED,
oml,176.4576,75.20634,150.41268,cowl outer,ASSUMED,
oml,177.4576,75.45863,150.91725,cowl outer,ASSUMED,
oml,178.4576,75.70991,151.41982,cowl outer,ASSUMED,
oml,179.4576,75.96019,151.92037,cowl outer,ASSUMED,
oml,180.4576,76.20946,152.41892,cowl outer,ASSUMED,
oml,181.4576,76.45773,152.91545,cowl outer,ASSUMED,
oml,182.4576,76.70499,153.40998,cowl outer,ASSUMED,
oml,183.4576,76.95125,153.90249,cowl outer,ASSUMED,
oml,184.4576,77.19650,154.39300,cowl outer,ASSUMED,
oml,185.4576,77.44075,154.88149,cowl outer,ASSUMED,
oml,186.4576,77.68399,155.36798,cowl outer,ASSUMED,
oml,187.4576,77.92623,155.85245,cowl outer,ASSUMED,
oml,188.4576,78.16746,156.33492,cowl outer,ASSUMED,
oml,189.4576,78.40769,156.81537,cowl outer,ASSUMED,
oml,190.4576,78.64691,157.29382,cowl outer,ASSUMED,
oml,191.4576,78.88513,157.77025,cowl outer,ASSUMED,
oml,192.4576,79.12234,158.24468,cowl outer,ASSUMED,
oml,193.4576,79.35855,158.71709,cowl outer,ASSUMED,
oml,194.4576,79.59375,159.18750,cowl outer,ASSUMED,
oml,195.4576,79.82795,159.65590,cowl outer,ASSUMED,
oml,196.4576,80.06114,160.12228,cowl outer,ASSUMED,
oml,197.4576,80.29333,160.58666,cowl outer,ASSUMED,
oml,198.4576,80.52451,161.04902,cowl outer,ASSUMED,
oml,199.4576,80.75469,161.50938,cowl outer,ASSUMED,
oml,200.4576,80.98386,161.96773,cowl outer,ASSUMED,
oml,201.4576,81.21203,162.42406,cowl outer,ASSUMED,
oml,202.4576,81.43920,162.87839,cowl outer,ASSUMED,
oml,203.4576,81.66535,163.33071,cowl outer,ASSUMED,
oml,204.4576,81.89051,163.78101,cowl outer,ASSUMED,
oml,205.4576,82.11465,164.22931,cowl outer,ASSUMED,
oml,206.4576,82.33780,164.67560,cowl outer,ASSUMED,
oml,207.4576,82.55994,165.11987,cowl outer,ASSUMED,
oml,208.4576,82.78107,165.56214,cowl outer,ASSUMED,
oml,209.4576,83.00120,166.00240,cowl outer,ASSUMED,
oml,210.4576,83.22032,166.44064,cowl outer,ASSUMED,
oml,211.4576,83.43844,166.87688,cowl outer,ASSUMED,
oml,212.4576,83.65555,167.31111,cowl outer,ASSUMED,
oml,213.4576,83.87166,167.74333,cowl outer,ASSUMED,
oml,214.4576,84.08677,168.17353,cowl outer,ASSUMED,
oml,215.4576,84.30087,168.60173,cowl outer,ASSUMED,
oml,216.4576,84.51396,169.02792,cowl outer,ASSUMED,
oml,217.4576,84.72605,169.45210,cowl outer,ASSUMED,
oml,218.4576,84.93713,169.87426,cowl outer,ASSUMED,
