x_mm,region,flow_radius_mm,flow_area_cm2,area_over_body,area_over_throat,equivalent_radius_mm,station
153.4576,SPIKE (external compression),66.12637,39.36500,0.109444,0.374817,35.39812,cowl_lip
154.0000,ANNULAR SUBSONIC DIFFUSER,66.16204,39.51326,0.109856,0.376228,35.46472,
155.0000,ANNULAR SUBSONIC DIFFUSER,66.22794,39.78734,0.110618,0.378838,35.58750,
156.0000,ANNULAR SUBSONIC DIFFUSER,66.29400,40.06236,0.111383,0.381457,35.71029,
157.0000,ANNULAR SUBSONIC DIFFUSER,66.36022,40.33833,0.112150,0.384084,35.83307,
158.0000,ANNULAR SUBSONIC DIFFUSER,66.42660,40.61525,0.112920,0.386721,35.95586,
159.0000,ANNULAR SUBSONIC DIFFUSER,66.49314,40.89312,0.113693,0.389367,36.07864,
160.0000,ANNULAR SUBSONIC DIFFUSER,66.55984,41.17193,0.114468,0.392021,36.20142,
161.0000,ANNULAR SUBSONIC DIFFUSER,66.62670,41.45169,0.115246,0.394685,36.32421,
162.0000,ANNULAR SUBSONIC DIFFUSER,66.69372,41.73239,0.116026,0.397358,36.44699,
163.0000,ANNULAR SUBSONIC DIFFUSER,66.76090,42.01405,0.116809,0.400040,36.56978,
164.0000,ANNULAR SUBSONIC DIFFUSER,66.82824,42.29665,0.117595,0.402731,36.69256,
165.0000,ANNULAR SUBSONIC DIFFUSER,66.89573,42.58020,0.118383,0.405430,36.81535,
166.0000,ANNULAR SUBSONIC DIFFUSER,66.96338,42.86469,0.119174,0.408139,36.93813,
167.0000,ANNULAR SUBSONIC DIFFUSER,67.03119,43.15014,0.119968,0.410857,37.06092,
168.0000,ANNULAR SUBSONIC DIFFUSER,67.09916,43.43653,0.120764,0.413584,37.18370,
169.0000,ANNULAR SUBSONIC DIFFUSER,67.16728,43.72387,0.121563,0.416320,37.30649,
170.0000,ANNULAR SUBSONIC DIFFUSER,67.23555,44.01215,0.122364,0.419065,37.42927,
171.0000,ANNULAR SUBSONIC DIFFUSER,67.30398,44.30138,0.123169,0.421819,37.55205,
172.0000,ANNULAR SUBSONIC DIFFUSER,67.37257,44.59156,0.123975,0.424582,37.67484,
173.0000,ANNULAR SUBSONIC DIFFUSER,67.44131,44.88269,0.124785,0.427354,37.79762,
174.0000,ANNULAR SUBSONIC DIFFUSER,67.51020,45.17476,0.125597,0.430135,37.92041,
175.0000,ANNULAR SUBSONIC DIFFUSER,67.57924,45.46779,0.126411,0.432925,38.04319,
176.0000,ANNULAR SUBSONIC DIFFUSER,67.64844,45.76175,0.127229,0.435724,38.16598,
177.0000,ANNULAR SUBSONIC DIFFUSER,67.71779,46.05667,0.128049,0.438532,38.28876,
178.0000,ANNULAR SUBSONIC DIFFUSER,67.78729,46.35253,0.128871,0.441349,38.41155,
179.0000,ANNULAR SUBSONIC DIFFUSER,67.85694,46.64934,0.129696,0.444175,38.53433,
180.0000,ANNULAR SUBSONIC DIFFUSER,67.92674,46.94710,0.130524,0.447010,38.65712,
181.0000,ANNULAR SUBSONIC DIFFUSER,67.99669,47.24581,0.131355,0.449854,38.77990,
182.0000,ANNULAR SUBSONIC DIFFUSER,68.06679,47.54546,0.132188,0.452707,38.90269,
183.0000,ANNULAR SUBSONIC DIFFUSER,68.13704,47.84606,0.133024,0.455570,39.02547,
184.0000,ANNULAR SUBSONIC DIFFUSER,68.20744,48.14760,0.133862,0.458441,39.14825,
185.0000,ANNULAR SUBSONIC DIFFUSER,68.27799,48.45010,0.134703,0.461321,39.27104,
186.0000,ANNULAR SUBSONIC DIFFUSER,68.34868,48.75354,0.135547,0.464210,39.39382,
187.0000,ANNULAR SUBSONIC DIFFUSER,68.41953,49.05793,0.136393,0.467109,39.51661,
188.0000,ANNULAR SUBSONIC DIFFUSER,68.49052,49.36326,0.137242,0.470016,39.63939,
189.0000,ANNULAR SUBSONIC DIFFUSER,68.56165,49.66955,0.138093,0.472932,39.76218,
190.0000,ANNULAR SUBSONIC DIFFUSER,68.63293,49.97678,0.138948,0.475857,39.88496,
191.0000,ANNULAR SUBSONIC DIFFUSER,68.70436,50.28495,0.139804,0.478792,40.00775,
192.0000,ANNULAR SUBSONIC DIFFUSER,68.77593,50.59408,0.140664,0.481735,40.13053,
193.0000,ANNULAR SUBSONIC DIFFUSER,68.84765,50.90415,0.141526,0.484687,40.25332,
194.0000,ANNULAR SUBSONIC DIFFUSER,68.91951,51.21517,0.142391,0.487649,40.37610,
195.0000,ANNULAR SUBSONIC DIFFUSER,68.99151,51.52713,0.143258,0.490619,40.49888,
196.0000,ANNULAR SUBSONIC DIFFUSER,69.06366,51.84005,0.144128,0.493599,40.62167,
197.0000,ANNULAR SUBSONIC DIFFUSER,69.13595,52.15391,0.145000,0.496587,40.74445,
198.0000,ANNULAR SUBSONIC DIFFUSER,69.20838,52.46872,0.145876,0.499585,40.86724,
199.0000,ANNULAR SUBSONIC DIFFUSER,69.28096,52.78447,0.146754,0.502591,40.99002,
200.0000,ANNULAR SUBSONIC DIFFUSER,69.35367,53.10118,0.147634,0.505607,41.11281,
201.0000,ANNULAR SUBSONIC DIFFUSER,69.42653,53.41883,0.148517,0.508631,41.23559,
202.0000,ANNULAR SUBSONIC DIFFUSER,69.49953,53.73742,0.149403,0.511665,41.35838,
203.0000,ANNULAR SUBSONIC DIFFUSER,69.57267,54.05697,0.150291,0.514707,41.48116,
204.0000,ANNULAR SUBSONIC DIFFUSER,69.64594,54.37746,0.151182,0.517759,41.60395,
205.0000,ANNULAR SUBSONIC DIFFUSER,69.71936,54.69890,0.152076,0.520819,41.72673,
206.0000,ANNULAR SUBSONIC DIFFUSER,69.79292,55.02128,0.152972,0.523889,41.84951,
207.0000,ANNULAR SUBSONIC DIFFUSER,69.86661,55.34462,0.153871,0.526968,41.97230,
208.0000,ANNULAR SUBSONIC DIFFUSER,69.94044,55.66890,0.154773,0.530055,42.09508,
209.0000,ANNULAR SUBSONIC DIFFUSER,70.01441,55.99413,0.155677,0.533152,42.21787,
210.0000,ANNULAR SUBSONIC DIFFUSER,70.08852,56.32030,0.156584,0.536258,42.34065,
211.0000,ANNULAR SUBSONIC DIFFUSER,70.16276,56.64742,0.157494,0.539372,42.46344,
212.0000,ANNULAR SUBSONIC DIFFUSER,70.23714,56.97549,0.158406,0.542496,42.58622,
213.0000,ANNULAR SUBSONIC DIFFUSER,70.31165,57.30451,0.159320,0.545629,42.70901,
214.0000,ANNULAR SUBSONIC DIFFUSER,70.38630,57.63448,0.160238,0.548771,42.83179,
215.0000,ANNULAR SUBSONIC DIFFUSER,70.46109,57.96539,0.161158,0.551922,42.95458,
216.0000,ANNULAR SUBSONIC DIFFUSER,70.53601,58.29725,0.162080,0.555081,43.07736,
217.0000,ANNULAR SUBSONIC DIFFUSER,70.61106,58.63005,0.163006,0.558250,43.20014,
218.0000,ANNULAR SUBSONIC DIFFUSER,70.68625,58.96380,0.163934,0.561428,43.32293,
219.0000,ANNULAR SUBSONIC DIFFUSER,70.76157,59.29851,0.164864,0.564615,43.44571,
220.0000,ANNULAR SUBSONIC DIFFUSER,70.83702,59.63415,0.165797,0.567811,43.56850,
221.0000,ANNULAR SUBSONIC DIFFUSER,70.91260,59.97075,0.166733,0.571016,43.69128,
222.0000,ANNULAR SUBSONIC DIFFUSER,70.98832,60.30829,0.167672,0.574230,43.81407,
223.0000,ANNULAR SUBSONIC DIFFUSER,71.06417,60.64678,0.168613,0.577453,43.93685,
224.0000,ANNULAR SUBSONIC DIFFUSER,71.14015,60.98622,0.169556,0.580685,44.05964,
225.0000,ANNULAR SUBSONIC DIFFUSER,71.21626,61.32660,0.170503,0.583926,44.18242,
226.0000,ANNULAR SUBSONIC DIFFUSER,71.29250,61.66793,0.171452,0.587176,44.30521,
227.0000,ANNULAR SUBSONIC DIFFUSER,71.36887,62.01021,0.172403,0.590435,44.42799,
228.0000,ANNULAR SUBSONIC DIFFUSER,71.44537,62.35344,0.173358,0.593703,44.55077,
229.0000,ANNULAR SUBSONIC DIFFUSER,71.52200,62.69761,0.174315,0.596980,44.67356,
230.0000,ANNULAR SUBSONIC DIFFUSER,71.59876,63.04273,0.175274,0.600266,44.79634,
231.0000,ANNULAR SUBSONIC DIFFUSER,71.67564,63.38880,0.176236,0.603561,44.91913,
232.0000,ANNULAR SUBSONIC DIFFUSER,71.75265,63.73581,0.177201,0.606865,45.04191,
233.0000,ANNULAR SUBSONIC DIFFUSER,71.82979,64.08378,0.178168,0.610178,45.16470,
234.0000,ANNULAR SUBSONIC DIFFUSER,71.90706,64.43268,0.179138,0.613500,45.28748,
235.0000,ANNULAR SUBSONIC DIFFUSER,71.98445,64.78254,0.180111,0.616832,45.41027,
236.0000,ANNULAR SUBSONIC DIFFUSER,72.06197,65.13335,0.181086,0.620172,45.53305,
237.0000,ANNULAR SUBSONIC DIFFUSER,72.13962,65.48510,0.182064,0.623521,45.65584,
238.0000,ANNULAR SUBSONIC DIFFUSER,72.21739,65.83779,0.183045,0.626879,45.77862,
239.0000,ANNULAR SUBSONIC DIFFUSER,72.29529,66.19144,0.184028,0.630246,45.90141,
240.0000,ANNULAR SUBSONIC DIFFUSER,72.37331,66.54603,0.185014,0.633623,46.02419,
241.0000,ANNULAR SUBSONIC DIFFUSER,72.45145,66.90157,0.186003,0.637008,46.14697,
242.0000,ANNULAR SUBSONIC DIFFUSER,72.52972,67.25806,0.186994,0.640402,46.26976,
243.0000,ANNULAR SUBSONIC DIFFUSER,72.60811,67.61550,0.187987,0.643806,46.39254,
244.0000,ANNULAR SUBSONIC DIFFUSER,72.68662,67.97388,0.188984,0.647218,46.51533,
245.0000,ANNULAR SUBSONIC DIFFUSER,72.76526,68.33321,0.189983,0.650639,46.63811,
246.0000,ANNULAR SUBSONIC DIFFUSER,72.84402,68.69348,0.190984,0.654070,46.76090,
247.0000,ANNULAR SUBSONIC DIFFUSER,72.92290,69.05471,0.191989,0.657509,46.88368,
248.0000,ANNULAR SUBSONIC DIFFUSER,73.00190,69.41688,0.192996,0.660958,47.00647,
249.0000,ANNULAR SUBSONIC DIFFUSER,73.08102,69.78000,0.194005,0.664415,47.12925,
250.0000,ANNULAR SUBSONIC DIFFUSER,73.16026,70.14406,0.195017,0.667882,47.25204,
251.0000,ANNULAR SUBSONIC DIFFUSER,73.23963,70.50907,0.196032,0.671357,47.37482,
252.0000,ANNULAR SUBSONIC DIFFUSER,73.31911,70.87503,0.197050,0.674842,47.49760,
253.0000,ANNULAR SUBSONIC DIFFUSER,73.39871,71.24194,0.198070,0.678335,47.62039,
254.0000,ANNULAR SUBSONIC DIFFUSER,73.47843,71.60980,0.199093,0.681838,47.74317,
255.0000,ANNULAR SUBSONIC DIFFUSER,73.55827,71.97860,0.200118,0.685349,47.86596,
256.0000,ANNULAR SUBSONIC DIFFUSER,73.63823,72.34835,0.201146,0.688870,47.98874,
257.0000,ANNULAR SUBSONIC DIFFUSER,73.71830,72.71904,0.202177,0.692400,48.11153,
258.0000,ANNULAR SUBSONIC DIFFUSER,73.79850,73.09069,0.203210,0.695938,48.23431,
259.0000,ANNULAR SUBSONIC DIFFUSER,73.87881,73.46328,0.204246,0.699486,48.35710,
260.0000,ANNULAR SUBSONIC DIFFUSER,73.95923,73.83682,0.205284,0.703042,48.47988,
261.0000,ANNULAR SUBSONIC DIFFUSER,74.03978,74.21130,0.206325,0.706608,48.60267,
262.0000,ANNULAR SUBSONIC DIFFUSER,74.12043,74.58673,0.207369,0.710183,48.72545,
263.0000,ANNULAR SUBSONIC DIFFUSER,74.20121,74.96311,0.208416,0.713767,48.84823,
