V3a duct: chamber 214.0 x 389, cone 215, tail 121.6 x 1027 mm (t/D 4.80)

  row     M    alt   thrust     Hz   mdot_f         p/p0     status     s
  low  0.30    300    116.5   85.2  0.00725  0.82-1.45   converged    13
  low  0.35    300    114.9   85.3  0.00724  0.82-1.45   converged    14
  low  0.40    300    113.3   85.4  0.00722  0.82-1.45   converged    12
  low  0.45    300    111.6   85.6  0.00720  0.82-1.45   converged    12
  low  0.50    300    109.8   85.8  0.00718  0.82-1.45   converged    11
  low  0.55    300    107.9   86.0  0.00716  0.82-1.45   converged    12
  low  0.60    300    106.0   86.1  0.00713  0.83-1.44   converged    13
 high  0.30    900     97.0   85.6  0.00586  0.83-1.41   converged    13
 high  0.40    900     94.1   85.9  0.00582  0.83-1.41   converged    14
 high  0.50    900     90.8   86.2  0.00577  0.83-1.40   converged    13
 high  0.60    900     87.2   86.5  0.00569  0.83-1.38   converged    14

wrote out_medium_model\v3c_wall_fp.json
