time_s,mach,altitude_m,pulsejet_thrust_n,ramjet_thrust_n,total_thrust_n,pulsejet_fuel_kg_s,ramjet_fuel_kg_s,total_fuel_kg_s,ramjet_equivalence_ratio_phi,ramjet_lit,pulsejet_quenched
0.0,0.11755,0.0,126.1139,0.0,126.1139,0.0081811,0.0,0.0081811,,False,False
15.8,0.16757,76.205,124.7926,0.0,124.7926,0.00809718,0.0,0.00809718,,False,False
23.68,0.2177,129.953,121.7579,0.0,121.7579,0.00795472,0.0,0.00795472,,False,False
31.66,0.26775,198.805,117.6063,0.0,117.6063,0.00774515,0.0,0.00774515,,False,False
39.14,0.30606,275.077,112.9111,0.0,112.9111,0.00748691,0.0,0.00748691,,False,False
45.88,0.3315,351.33,108.1122,0.0,108.1122,0.00721049,0.0,0.00721049,,False,False
52.22,0.34785,427.655,103.5218,0.0,103.5218,0.00693323,0.0,0.00693323,,False,False
58.34,0.35769,504.078,99.1333,0.0,99.1333,0.00665343,0.0,0.00665343,,False,False
64.34,0.36272,580.495,93.5699,0.0,93.5699,0.00632545,0.0,0.00632545,,False,False
70.3,0.36313,656.891,91.0952,0.0,91.0952,0.00613618,0.0,0.00613618,,False,False
76.26,0.36204,733.144,87.8937,0.0,87.8937,0.00591583,0.0,0.00591583,,False,False
82.26,0.35916,809.414,83.7788,0.0,83.7788,0.00564208,0.0,0.00564208,,False,False
88.34,0.35407,885.77,78.549,0.0,78.549,0.00526447,0.0,0.00526447,,False,False
94.54,0.34617,962.137,70.3319,0.0,70.3319,0.00446373,0.0,0.00446373,,False,False
100.94,0.3333,1038.544,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
105.64,0.28311,1089.354,84.0161,0.0,84.0161,0.00544932,0.0,0.00544932,,False,False
112.14,0.33326,1024.77,72.2951,0.0,72.2951,0.00463531,0.0,0.00463531,,False,False
114.86,0.35624,948.375,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
117.52,0.35169,871.671,89.3087,0.0,89.3087,0.005947,0.0,0.005947,,False,False
120.1,0.37727,794.92,82.7905,0.0,82.7905,0.00562444,0.0,0.00562444,,False,False
122.52,0.39681,718.421,81.2404,0.0,81.2404,0.00560678,0.0,0.00560678,,False,False
124.84,0.41311,641.629,84.7912,0.0,84.7912,0.00589988,0.0,0.00589988,,False,False
127.06,0.428,565.255,87.2391,0.0,87.2391,0.0061066,0.0,0.0061066,,False,False
129.22,0.44155,488.368,91.1994,0.0,91.1994,0.00637316,0.0,0.00637316,,False,False
131.3,0.45415,412.038,93.7805,0.0,93.7805,0.00658507,0.0,0.00658507,,False,False
133.34,0.46573,335.091,96.1459,0.0,96.1459,0.00677938,0.0,0.00677938,,False,False
135.32,0.47621,258.552,99.0909,0.0,99.0909,0.00700838,0.0,0.00700838,,False,False
137.26,0.48594,181.885,99.3204,0.0,99.3204,0.00711846,0.0,0.00711846,,False,False
137.72,0.48808,163.476,99.3204,227.1067,326.4271,0.00711846,0.04133214,0.0484506,0.8625,True,False
139.6,0.53609,121.85,99.9593,227.1067,327.066,0.00726717,0.04133214,0.04859931,0.8625,True,False
139.7,0.53824,121.745,99.9593,272.9887,372.948,0.00726717,0.04646772,0.05373489,0.8625,True,False
141.38,0.58619,127.079,99.5429,272.9887,372.5316,0.00728322,0.04646772,0.05375094,0.8625,True,False
141.46,0.58835,127.358,99.5429,321.9213,421.4642,0.00728322,0.05079194,0.05807516,0.8625,True,False
142.96,0.63635,132.811,97.5542,321.9213,419.4755,0.00723236,0.05079194,0.0580243,0.8625,True,False
143.04,0.63874,133.114,97.5542,376.1405,473.6947,0.00723236,0.05477909,0.06201146,0.8625,True,False
144.4,0.68691,138.466,95.1466,376.1405,471.2871,0.00716101,0.05477909,0.0619401,0.8625,True,False
144.46,0.6889,138.711,95.1466,425.0327,520.1793,0.00716101,0.05892383,0.06608483,0.8625,True,False
145.74,0.73734,144.129,92.6291,425.0327,517.6619,0.00708401,0.05892383,0.06600784,0.8625,True,False
145.8,0.73946,144.392,92.6291,493.9022,586.5314,0.00708401,0.06316627,0.07025028,0.8625,True,False
146.92,0.78738,149.467,90.4861,493.9022,584.3883,0.00701662,0.06316627,0.07018289,0.8625,True,False
146.98,0.7898,149.748,90.4861,555.8791,646.3652,0.00701662,0.0683967,0.07541331,0.8625,True,False
148.02,0.83765,154.771,88.3453,555.8791,644.2244,0.00695358,0.0683967,0.07535027,0.8625,True,False
148.08,0.84019,155.07,88.3453,624.3393,712.6846,0.00695358,0.0718915,0.07884507,0.8625,True,False
149.08,0.88812,160.2,86.47,624.3393,710.8093,0.00689107,0.0718915,0.07878256,0.8625,True,False
149.14,0.89072,160.516,86.47,695.2442,781.7142,0.00689107,0.07603325,0.08292432,0.8625,True,False
150.14,0.93845,165.946,84.4393,695.2442,779.6834,0.00681667,0.07603325,0.08284992,0.8625,True,False
150.2,0.94093,166.281,84.4393,773.3957,857.835,0.00681667,0.07969133,0.086508,0.8625,True,False
151.28,0.98911,172.47,82.3835,773.3957,855.7792,0.00673221,0.07969133,0.08642354,0.8625,True,False
151.34,0.99129,172.822,82.3835,856.8082,939.1917,0.00673221,0.08505932,0.09179152,0.8625,True,False
152.62,1.03946,180.545,80.401,856.8082,937.2091,0.00662496,0.08505932,0.09168428,0.8625,True,False
152.7,1.04162,181.039,80.401,948.345,1028.7459,0.00662496,0.09078503,0.09741,0.8625,True,False
154.58,1.08955,192.96,78.1348,948.345,1026.4798,0.00647227,0.09078503,0.09725731,0.8625,True,False
154.74,1.09164,193.994,78.1348,1045.2056,1123.3404,0.00647227,0.09637842,0.10285069,0.8625,True,False
