time_s,mode,downrange_m,altitude_m,velocity_m_s,mach,flight_path_angle_deg,dynamic_pressure_pa,air_density_kg_m3,static_temperature_k,mass_kg,thrust_n,drag_n,thrust_to_weight,along_path_accel_m_s2,along_path_accel_g,load_n_roll_axial_g,load_n_yaw_normal_g,load_n_total_g,axial_force_n,normal_force_n,turn_radius_m,fuel_burned_kg,fuel_flow_kg_s,specific_impulse_s,stall_speed_m_s
0.0,v3_climb,0.0,0.0,40.0,0.117545,6.0,980.0,1.225,288.15,22.679619,126.1139,96.0116,0.56703,0.30221,0.030817,0.135345,1.148375,1.156323,30.102,255.411,282.592,0.0,0.0,1571.919,45.7961
0.02,v3_climb,0.0,0.0836,40.00604,0.117563,6.0,980.288,1.22499,288.1495,22.679455,126.1139,95.9865,0.567035,0.30332,0.03093,0.135459,1.148375,1.156337,30.127,255.409,282.677,0.0001636,0.0081811,1571.919,45.7961
0.04,v3_climb,0.0,0.1673,40.01211,0.117581,6.0,980.578,1.22498,288.1489,22.679291,126.1139,95.9614,0.567039,0.30444,0.031044,0.135573,1.148375,1.15635,30.152,255.408,282.763,0.0003272,0.0081811,1571.919,45.7961
0.06,v3_climb,0.0,0.2509,40.0182,0.117599,6.0,980.868,1.224971,288.1484,22.679128,126.1139,95.9362,0.567043,0.30556,0.031159,0.135687,1.148375,1.156363,30.178,255.406,282.849,0.0004909,0.0081811,1571.919,45.7962
0.08,v3_climb,0.0,0.3346,40.02431,0.117617,6.0,981.16,1.224961,288.1478,22.678964,126.1139,95.9109,0.567047,0.30669,0.031273,0.135802,1.148375,1.156377,30.203,255.404,282.936,0.0006545,0.0081811,1571.919,45.7962
0.1,v3_climb,0.0,0.4183,40.03044,0.117635,6.0,981.453,1.224951,288.1473,22.6788,126.1139,95.8855,0.567051,0.30781,0.031388,0.135917,1.148375,1.15639,30.228,255.402,283.022,0.0008181,0.0081811,1571.919,45.7962
0.12,v3_climb,0.0,0.502,40.0366,0.117654,6.0,981.747,1.224941,288.1467,22.678637,126.1139,95.8601,0.567055,0.30895,0.031504,0.136032,1.148375,1.156404,30.254,255.4,283.109,0.0009817,0.0081811,1571.919,45.7962
0.14,v3_climb,0.0,0.5857,40.04278,0.117672,6.0,982.042,1.224931,288.1462,22.678473,126.1139,95.8346,0.567059,0.31008,0.031619,0.136148,1.148375,1.156417,30.279,255.398,283.197,0.0011454,0.0081811,1571.919,45.7962
0.16,v3_climb,0.0,0.6694,40.04898,0.11769,6.0,982.338,1.224921,288.1456,22.67831,126.1139,95.809,0.567063,0.31122,0.031736,0.136264,1.148375,1.156431,30.305,255.397,283.285,0.001309,0.0081811,1571.919,45.7963
0.18,v3_climb,0.0,0.7532,40.05521,0.117709,6.0,982.636,1.224911,288.1451,22.678146,126.1139,95.7833,0.567067,0.31236,0.031852,0.13638,1.148375,1.156445,30.331,255.395,283.373,0.0014726,0.0081811,1571.919,45.7963
0.2,v3_climb,0.0,0.8369,40.06145,0.117727,6.0,982.935,1.224902,288.1446,22.677982,126.1139,95.7575,0.567071,0.31351,0.031969,0.136497,1.148375,1.156459,30.356,255.393,283.461,0.0016362,0.0081811,1571.919,45.7963
0.22,v3_climb,0.0,0.9207,40.06772,0.117746,6.0,983.234,1.224892,288.144,22.677819,126.1139,95.7317,0.567075,0.31466,0.032086,0.136614,1.148375,1.156472,30.382,255.391,283.55,0.0017998,0.0081811,1571.919,45.7963
0.24,v3_climb,0.0,1.0045,40.07402,0.117764,6.0,983.535,1.224882,288.1435,22.677655,126.1139,95.7058,0.56708,0.31581,0.032203,0.136732,1.148375,1.156486,30.408,255.389,283.639,0.0019635,0.0081811,1571.919,45.7963
0.26,v3_climb,0.0,1.0883,40.08033,0.117783,6.0,983.837,1.224872,288.1429,22.677491,126.1139,95.6798,0.567084,0.31696,0.032321,0.13685,1.148375,1.1565,30.434,255.387,283.728,0.0021271,0.0081811,1571.919,45.7963
0.28,v3_climb,0.0,1.1721,40.08667,0.117802,6.0,984.141,1.224862,288.1424,22.677328,126.1139,95.6537,0.567088,0.31812,0.03244,0.136968,1.148375,1.156514,30.46,255.386,283.818,0.0022907,0.0081811,1571.919,45.7964
0.3,v3_climb,0.0,1.2559,40.09303,0.11782,6.0,984.445,1.224852,288.1418,22.677164,126.1139,95.6276,0.567092,0.31929,0.032558,0.137087,1.148375,1.156528,30.486,255.384,283.908,0.0024543,0.0081811,1571.919,45.7964
0.32,v3_climb,0.0,1.3397,40.09942,0.117839,6.0,984.751,1.224842,288.1413,22.677001,126.1139,95.6013,0.567096,0.32045,0.032677,0.137206,1.148375,1.156542,30.513,255.382,283.999,0.002618,0.0081811,1571.919,45.7964
0.34,v3_climb,0.0,1.4236,40.10583,0.117858,6.0,985.058,1.224833,288.1407,22.676837,126.1139,95.575,0.5671,0.32162,0.032796,0.137325,1.148375,1.156557,30.539,255.38,284.089,0.0027816,0.0081811,1571.919,45.7964
0.36,v3_climb,0.0,1.5074,40.11226,0.117877,6.0,985.366,1.224823,288.1402,22.676673,126.1139,95.5486,0.567104,0.3228,0.032916,0.137445,1.148375,1.156571,30.565,255.378,284.18,0.0029452,0.0081811,1571.919,45.7964
0.38,v3_climb,0.0,1.5913,40.11872,0.117896,6.0,985.675,1.224813,288.1397,22.67651,126.1139,95.5222,0.567108,0.32397,0.033036,0.137565,1.148375,1.156585,30.592,255.376,284.272,0.0031088,0.0081811,1571.919,45.7965
0.4,v3_climb,0.0,1.6752,40.1252,0.117916,6.0,985.986,1.224803,288.1391,22.676346,126.1139,95.4956,0.567112,0.32515,0.033156,0.137685,1.148375,1.156599,30.618,255.374,284.364,0.0032724,0.0081811,1571.919,45.7965
0.42,v3_climb,0.0,1.7591,40.1317,0.117935,6.0,986.297,1.224793,288.1386,22.676182,126.1139,95.469,0.567116,0.32634,0.033277,0.137806,1.148375,1.156614,30.645,255.373,284.456,0.0034361,0.0081811,1571.919,45.7965
0.44,v3_climb,0.0,1.843,40.13823,0.117954,6.0,986.61,1.224783,288.138,22.676019,126.1139,95.4423,0.56712,0.32753,0.033398,0.137927,1.148375,1.156628,30.672,255.371,284.549,0.0035997,0.0081811,1571.919,45.7965
