wing_le_x_m,fin_area_ratio,ok,mount_overlap_m,overlap_attempts,cl_alpha,cm_alpha,cy_beta,cn_beta,cl_beta,reference_cg_x_m,neutral_point_x_m,yaw_neutral_point_x_m,static_margin_at_release,static_margin_at_burnout,ballast_x_for_target_m,ballast_feasible,fin_semispan_m,fin_root_chord_m,total_span_m,note
1.0,0.35,True,0.006,1,1.721499,3.373107,-0.651009,-2.318684,-0.004732,0.922084,0.341495,-0.974604,-1.959401,-1.686469,-2.741234,False,0.12654,0.145448,0.45508,
1.0,0.8,True,0.009,3,2.269423,1.779266,-1.345773,-1.212373,0.046349,0.922079,0.689768,0.44234,-0.784017,-0.511082,-1.054561,False,0.19131,0.219897,0.578621,
1.0,1.3,True,0.006,1,2.887919,-0.01099,-2.017645,-0.156113,-0.026174,0.922084,0.923211,0.88088,0.003806,0.276738,0.075961,True,0.243874,0.280315,0.689748,
1.0,1.8,True,0.006,1,3.708498,-2.44274,-2.934102,1.353177,-0.001728,0.922084,1.117259,1.167679,0.658687,0.931619,1.015714,True,0.286966,0.329846,0.774738,
1.0,2.3,True,0.006,1,4.450625,-4.427281,-3.748932,2.488597,-0.076058,0.922084,1.216839,1.275582,0.994755,1.267687,1.49797,True,0.324383,0.372854,0.847851,
1.3,0.35,True,0.006,1,1.256576,4.200738,-0.606773,-2.387676,0.000548,0.934187,-0.056376,-1.161326,-3.343004,-3.076469,-4.7267,False,0.12654,0.145448,0.45508,
1.3,0.8,True,0.009,3,2.062919,1.773107,-1.264577,-1.358162,0.064891,0.934182,0.6795,0.362247,-0.859514,-0.592977,-1.162899,False,0.19131,0.219897,0.578621,
1.3,1.3,True,0.006,1,2.690847,0.040129,-1.935013,-0.306688,-0.005812,0.934187,0.929768,0.849784,-0.014913,0.251622,0.0491,True,0.243874,0.280315,0.689748,
1.3,1.8,True,0.006,1,3.539563,-2.467992,-2.847375,1.173873,0.031758,0.934187,1.140791,1.153729,0.697259,0.963794,1.071065,True,0.286966,0.329846,0.774738,
1.3,2.3,True,0.006,1,4.28683,-4.413257,-3.651707,2.276286,-0.028147,0.934187,1.239235,1.266136,1.029492,1.296027,1.547818,True,0.324383,0.372854,0.847851,
1.6,0.35,True,0.006,1,1.782743,1.486752,-0.653597,-2.335833,-0.000301,0.94629,0.699177,-0.956859,-0.833969,-0.573831,-1.126242,False,0.12654,0.145448,0.45508,
1.6,0.8,True,0.009,3,2.374573,-0.135473,-1.335648,-1.288741,0.065643,0.946286,0.963191,0.432462,0.057051,0.317191,0.152369,True,0.19131,0.219897,0.578621,
1.6,1.3,True,0.006,1,2.927162,-1.688695,-2.020093,-0.240312,-0.006973,0.94629,1.117232,0.88294,0.576905,0.837043,0.898358,True,0.243874,0.280315,0.689748,
1.6,1.8,True,0.006,1,3.618642,-3.711939,-2.931104,1.22613,0.032669,0.94629,1.250239,1.169055,1.025782,1.28592,1.542495,True,0.286966,0.329846,0.774738,
1.6,2.3,True,0.006,1,4.346945,-5.649668,-3.728635,2.284639,-0.027382,0.94629,1.331399,1.272584,1.299687,1.559825,1.935547,True,0.324383,0.372854,0.847851,
