engine,variable,low_input,baseline_input,high_input,low_net_thrust_n,baseline_net_thrust_n,high_net_thrust_n,net_thrust_normalized_slope,low_fuel_mass_flow_kg_per_s,baseline_fuel_mass_flow_kg_per_s,high_fuel_mass_flow_kg_per_s,fuel_flow_normalized_slope,low_peak_chamber_pressure_pa,baseline_peak_chamber_pressure_pa,high_peak_chamber_pressure_pa,low_inlet_spillage_fraction,baseline_inlet_spillage_fraction,high_inlet_spillage_fraction,low_status,baseline_status,high_status,perturbation_fraction,numerical_reference_only
ramjet,throat_diameter_m,0.117,0.13,0.14300000000000002,488.5596516304206,603.16006374126,729.8236771269246,1.9999999999999996,0.04110475051712069,0.05074660557669221,0.06140339274779757,1.999999999999999,,,,0.7244856265086539,0.659858798158832,0.5884291457721866,"[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]","[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]","[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]",0.1,True
pulsejet,target_equivalence_ratio,0.81,0.9,0.9900000000000001,162.65709741370503,185.19833996051136,207.54554648262874,1.2119020364463031,0.03292483516208281,0.03656365194181578,0.040144912627517994,0.9873299139982769,141094.71569305816,146318.4807881913,151913.73496722273,,,,[],[],[],0.1,True
pulsejet,combustion_efficiency,0.522,0.58,0.638,162.35031722894,185.19833996051136,207.0431347819751,1.2066203607053025,0.036503189890063466,0.03656365194181578,0.03659076137530816,0.011975210433581261,140958.2799128346,146318.4807881913,151976.02914950406,,,,[],[],[],0.1,True
pulsejet,fuel_lower_heating_value_j_per_kg,38700000.0,43000000.0,47300000.00000001,162.35031722894,185.19833996051136,207.0431347819751,1.2066203607053017,0.036503189890063466,0.03656365194181578,0.03659076137530816,0.01197521043358125,140958.2799128346,146318.4807881913,151976.02914950406,,,,[],[],[],0.1,True
pulsejet,selector_discharge_coefficient,0.7020000000000001,0.78,0.8580000000000001,159.8480330795338,185.19833996051136,204.31719879220148,1.2005821899415932,0.03463640007629502,0.03656365194181578,0.039094141370162774,0.6095864413326955,143689.4404254394,146318.4807881913,151164.562039518,,,,[],[],[],0.1,True
ramjet,selector_total_pressure_recovery,0.8280000000000001,0.92,1.0,532.8922954340428,603.16006374126,664.2624709649272,1.1649937144605165,0.04815426059254705,0.05074660557669221,0.053000818606383636,0.5108410611281967,,,,0.6772346074070282,0.659858798158832,0.6447493988125743,"[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]","[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]","[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]",0.1,True
pulsejet,burn_duration_s,0.0036000000000000003,0.004,0.0044,196.01820291598628,185.19833996051136,172.7442856473097,-0.6283511308373261,0.03700300822672399,0.03656365194181578,0.03602175900882095,-0.13418369962941806,154883.1134974551,146318.4807881913,139794.9429324688,,,,[],[],[],0.1,True
pulsejet,selector_total_pressure_recovery,0.8280000000000001,0.92,1.0,174.75836836923995,185.19833996051136,195.8990618697976,0.6105785184162537,0.03482572131314676,0.03656365194181578,0.037956471350513436,0.45799233401355655,143699.93724928994,146318.4807881913,148877.1030907723,,,,[],[],[],0.1,True
ramjet,target_combustor_exit_temperature_k,1710.0,1900.0,2090.0,576.6946558470502,603.16006374126,626.0300214022486,0.4089740727294076,0.047052750482910154,0.05074660557669221,0.054209165704602755,0.7051127006787942,,,,0.6397213331527053,0.659858798158832,0.6772604937582605,"[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]","[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]","[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]",0.1,True
ramjet,exit_to_throat_area_ratio,1.0,1.05,1.1550000000000002,609.6024700553187,603.16006374126,574.5294339483733,-0.3939112504304292,0.05074660557669221,0.05074660557669221,0.05074660557669221,0.0,,,,0.659858798158832,0.659858798158832,0.659858798158832,"[""fixed_nozzle_requires_inlet_spillage_coupling""]","[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]","[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]",0.1,True
pulsejet,exit_to_throat_area_ratio,1.0,1.05,1.1550000000000002,184.6561016574619,185.19833996051136,176.60575451049772,-0.294465974786109,0.03588659330313806,0.03656365194181578,0.03748303108306645,0.2957740251548641,148172.54872207623,146318.4807881913,145603.2318691628,,,,[],[],[],0.1,True
pulsejet,chamber_volume_m3,0.022500000000000003,0.025,0.027500000000000004,187.37177590293555,185.19833996051136,194.5905800202922,0.19489386672947154,0.03694434108604216,0.03656365194181578,0.03636393455763224,-0.07936933232674995,147401.31814204968,146318.4807881913,149693.52922561677,,,,[],[],[],0.1,True
ramjet,combustor_total_pressure_loss_fraction,0.054,0.06,0.066,611.940048440523,603.16006374126,594.3800790419973,-0.14556641308117568,0.05107052008037323,0.05074660557669221,0.050422691073011186,-0.0638297872340441,,,,0.6576876841045265,0.659858798158832,0.6620299122131373,"[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]","[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]","[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]",0.1,True
pulsejet,throat_diameter_m,0.117,0.13,0.14300000000000002,185.15697868965466,185.19833996051136,182.48576047843895,-0.07211776876038097,0.03355505496264695,0.03656365194181578,0.038919387706063596,0.733560853269386,158783.4972448831,146318.4807881913,139045.47053565554,,,,[],[],[],0.1,True
ramjet,combustor_efficiency,0.864,0.96,1.0,605.1782493609762,603.16006374126,602.4343826327062,-0.03211166021660109,0.056434577348912246,0.05074660557669221,0.0487013756331408,-1.0756838927182688,,,,0.6613944307270265,0.659858798158832,0.6593066291543894,"[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]","[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]","[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]",0.1,True
ramjet,fuel_lower_heating_value_j_per_kg,38700000.0,43000000.0,47300000.00000001,605.1782493609762,603.16006374126,601.5114502977809,-0.030396567044334827,0.056434577348912246,0.05074660557669221,0.04610022090414147,-1.0182313011214799,,,,0.6613944307270265,0.659858798158832,0.6586043721677648,"[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]","[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]","[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]",0.1,True
ramjet,mass_capture_coefficient,0.81,0.9,0.9900000000000001,603.16006374126,603.16006374126,603.16006374126,0.0,0.05074660557669221,0.05074660557669221,0.05074660557669221,0.0,,,,0.6220653312875911,0.659858798158832,0.6907807255989382,"[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]","[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]","[""fixed_nozzle_requires_inlet_spillage_coupling"", ""overexpanded_external_shock_or_separation_not_modeled""]",0.1,True
